mention_text,lat,lon,valid
other Gunflint-type microfossils Crosby,53.4871826171875,-3.034276008605957,1
southeastern edge of the Laguna Negra,-34.0301399230957,-53.680118560791016,1
Late Vendiar East Greenland,74.75653076171875,-41.3934326171875,1
lower southeast South Australia,-30.10816192626953,135.8317413330078,1
ice-capped Dry Valley,39.95823669433594,-120.01631164550781,1
whole basin,44.29499,20.84743,1
Lake Thetis Western Australia,-30.506742477416992,115.08131408691406,1
Apachina,-1,-1,0
Ryutoku West Horizons,41.26909637451172,-96.07728576660156,1
eastern Yunnan Province,24.97260093688965,101.48819732666016,1
Planetary Sciences Macquarie University Sydney,-33.774620056152344,151.1128692626953,1
Sedimentol Egypt,30.04349,31.23529,1
Tianjin China Tianjin University Press,39.08509826660156,117.19937133789062,1
Dharwar Craton India,22.35251808166504,79.36368560791016,1
Black Mountain area,35.6187744140625,-82.31976318359375,1
Lee Stocking Island Exuma Cays Bahamas,23.49442,-75.69683,1
Crasquin S,-1,-1,0
Steneck,48.6171,14.00382,1
FA Intertidal Dome,7.094598770141602,2.308105945587158,1
Finnmark Arctic Norway,62.141357421875,9.601633071899414,1
Dokl,-1,-1,0
U.S.S.R. Moscow,55.68793,37.54549,1
Lake Carnegie Western Australia,-26.200380325317383,122.59874725341797,1
Guangxi South China Baba Senowbari-Daryan,38.216060638427734,45.62410354614258,1
Boliimu Konya Turkey The,37.87166,32.49896,1
former oceanic island,64.98397827148438,-18.57899284362793,1
Menlo Park CA USA Received September,37.45322036743164,-122.18321990966797,1
Bauld,-1,-1,0
Grupo Bambui,-20.014568328857422,-45.97745132446289,1
ramp Nizhnyaya Tunguska River,63.9673957824707,95.68976593017578,1
Wopmay Orogen,47.40787,9.46592,1
southeast of Wilson Creek,47.42477798461914,-119.1175308227539,1
Renalcis Epiphyton,45.96399,12.68061,1
Reactor Centre East Kilbride Glasgow G,55.7654914855957,-4.177931785583496,1
M.,-1,-1,0
NW Australia,-25.728103637695312,134.4901885986328,1
North Carolina Arendefl Street Morehead City North Carolina,34.7272996500684,-76.7698157499261,1
Sutera,-1.6084909439086914,100.64591217041016,1
Nanophytoplankton,-1,-1,0
Demicco Laurentia Maryland,38.952735900878906,-76.7012939453125,1
Al-Nikhsh area southwest Qatar Peninsula,25.18372,51.44229,1
Adrar,27.87517738342285,-0.2957249879837036,1
southern Ural,48.84688,44.75395,1
Santorini Caldera,36.39838409423828,25.43646240234375,1
Roisan zone Austroalpine Dent Blanche and Mt Mary,45.78355407714844,7.31118106842041,1
Bach Germany,49.12840270996094,12.965388298034668,1
Missouri and Kansas Cycle,38.4847297668457,-98.38018035888672,1
Jixian northern China,46.72843933105469,131.14114379882812,1
Carbla Flagpole Nanga and Spaven,-26.203060150146484,114.39749908447266,1
highly alkaline Lake Bosumtwi,6.505000114440918,-1.4083000421524048,1
Johannesburg Johannesburg South Africa Economic Geology Research Institute School,-26.1322,28.11894,1
intracratonic basin,44.29499,20.84743,1
Cambridge West Building,-32.97548,27.87077,1
Paliwal,-1,-1,0
Irece Basin Brazil,-10.755864143371582,-53.083274841308594,1
Laguna Mormona Baja California Mexico Journal,32.57196,-115.43498,1
Australia Australian Food Safety Centre University,-25.728103637695312,134.4901885986328,1
Fortescue Group Australia Ga,-25.728103637695312,134.4901885986328,1
Kathu,-27.698593139648438,23.045866012573242,1
